ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
123,58.0,32,73.0,94523,2.0,0.7,2.0,0,0.0,0.0,1,1.0,0
124,37.0,13,84.0,92130,1.0,3.6,2.0,0,1.0,0.0,0,0.0,0
125,39.0,15,78.0,92121,4.0,2.4,1.0,118,0.0,0.0,1,0.0,0
126,60.0,35,80.0,91301,3.0,0.5,1.0,0,0.0,0.0,1,0.0,0
127,31.0,5,115.0,92096,2.0,1.3,1.0,101,0.0,0.0,1,1.0,0
128,34.0,8,82.0,92646,1.0,2.7,2.0,251,0.0,0.0,1,0.0,0
129,38.0,14,74.0,92182,2.0,0.0,1.0,0,1.0,0.0,1,0.0,0
130,41.0,16,70.0,92131,3.0,0.5,3.0,0,0.0,0.0,0,1.0,0
131,28.0,4,81.0,94801,3.0,1.5,1.0,276,0.0,0.0,1,0.0,0
132,58.0,34,149.0,93720,4.0,7.2,2.0,0,0.0,1.0,1,1.0,1
133,31.0,1,51.0,90840,2.0,1.75,3.0,0,0.0,0.0,0,0.0,0
134,30.0,4,39.0,90245,3.0,1.1,2.0,0,0.0,0.0,1,0.0,0
135,53.0,29,98.0,95035,3.0,1.8,2.0,0,0.0,0.0,0,0.0,0
136,58.0,33,45.0,93010,4.0,2.1,1.0,0,0.0,0.0,1,1.0,0
137,59.0,32,49.0,95035,4.0,2.5,2.0,0,0.0,0.0,1,0.0,0
138,49.0,25,128.0,95054,2.0,0.4,1.0,0,0.0,0.0,0,0.0,0
139,59.0,34,42.0,94928,3.0,1.5,1.0,0,1.0,1.0,0,1.0,0
140,59.0,35,18.0,93305,1.0,1.2,3.0,0,0.0,0.0,1,0.0,0
141,51.0,25,31.0,90245,2.0,0.4,3.0,161,0.0,0.0,1,1.0,0
142,35.0,11,58.0,95831,3.0,2.0,1.0,149,0.0,0.0,1,1.0,0
143,33.0,9,48.0,91770,1.0,2.1,3.0,0,0.0,0.0,0,1.0,0
144,25.0,1,54.0,94117,4.0,1.6,1.0,0,0.0,0.0,1,1.0,0
145,49.0,23,70.0,92093,2.0,1.5,2.0,0,0.0,0.0,0,0.0,0
146,59.0,35,124.0,90007,1.0,7.4,1.0,0,0.0,0.0,0,1.0,0
147,46.0,19,84.0,94102,1.0,2.67,2.0,0,0.0,0.0,1,1.0,0
148,50.0,25,83.0,94542,4.0,3.6,3.0,188,0.0,0.0,1,0.0,0
149,52.0,28,163.0,91423,2.0,0.4,1.0,116,0.0,0.0,1,0.0,0
150,48.0,22,42.0,93955,3.0,2.2,2.0,0,0.0,0.0,0,0.0,0
151,46.0,22,118.0,94107,2.0,7.5,1.0,0,0.0,1.0,1,1.0,0
152,26.0,0,132.0,92834,3.0,6.5,3.0,0,0.0,0.0,0,1.0,1
153,57.0,32,24.0,93117,1.0,1.3,1.0,0,0.0,0.0,1,1.0,0
154,60.0,36,22.0,94551,2.0,1.0,1.0,0,1.0,1.0,1,1.0,0
155,54.0,29,58.0,92612,4.0,1.3,3.0,0,0.0,0.0,0,0.0,0
156,24.0,0,60.0,94596,4.0,1.6,1.0,0,0.0,0.0,1,0.0,0
157,26.0,0,15.0,92131,4.0,0.4,1.0,0,0.0,0.0,0,1.0,0
158,41.0,17,83.0,94025,4.0,2.67,1.0,0,0.0,0.0,1,1.0,0
159,32.0,6,79.0,94720,2.0,1.5,3.0,0,0.0,0.0,1,1.0,0
160,61.0,35,41.0,94545,4.0,1.7,2.0,0,1.0,0.0,1,0.0,0
161,29.0,0,134.0,95819,4.0,6.5,3.0,0,0.0,0.0,0,0.0,1
162,61.0,35,80.0,95053,2.0,2.8,1.0,0,0.0,0.0,1,0.0,0
163,38.0,12,52.0,90036,1.0,2.0,1.0,0,0.0,0.0,0,0.0,0
164,28.0,4,70.0,91125,4.0,2.6,1.0,0,0.0,0.0,1,0.0,0
165,53.0,27,92.0,95120,2.0,1.1,1.0,0,1.0,0.0,0,0.0,0
166,27.0,1,43.0,94706,1.0,1.5,1.0,0,0.0,0.0,1,0.0,0
167,25.0,1,21.0,95827,3.0,1.0,2.0,0,0.0,0.0,0,0.0,0
168,33.0,9,23.0,94305,3.0,0.9,3.0,0,0.0,0.0,1,1.0,0
169,50.0,26,13.0,91320,4.0,1.0,1.0,0,0.0,0.0,1,0.0,0
170,27.0,1,112.0,90503,4.0,2.1,3.0,0,0.0,0.0,0,1.0,0
171,27.0,1,138.0,90250,2.0,2.0,1.0,0,0.0,0.0,1,0.0,0
172,52.0,28,11.0,95817,3.0,0.4,1.0,0,1.0,0.0,0,0.0,0
173,38.0,13,171.0,92717,2.0,7.8,1.0,0,0.0,0.0,1,0.0,0
174,58.0,34,42.0,90095,4.0,1.5,1.0,0,0.0,0.0,1,1.0,0
175,42.0,17,168.0,95503,2.0,7.9,2.0,0,0.0,0.0,1,0.0,1
176,45.0,20,85.0,91711,4.0,1.1,2.0,0,1.0,0.0,1,0.0,0
177,52.0,25,44.0,93111,3.0,1.0,2.0,135,0.0,0.0,1,0.0,0
178,29.0,3,65.0,94132,4.0,1.8,2.0,244,0.0,0.0,0,0.0,0
179,53.0,29,24.0,95818,4.0,0.2,1.0,0,0.0,0.0,1,1.0,0
180,62.0,37,11.0,91942,1.0,0.1,1.0,0,0.0,0.0,1,0.0,0
181,51.0,27,38.0,90401,2.0,1.0,3.0,164,0.0,0.0,1,0.0,0
182,36.0,12,10.0,93524,4.0,0.7,2.0,81,0.0,0.0,0,0.0,0
183,24.0,0,135.0,95133,1.0,1.5,1.0,0,0.0,0.0,1,0.0,0
184,29.0,3,148.0,92173,3.0,4.1,1.0,0,0.0,0.0,1,0.0,1
185,52.0,26,63.0,92717,2.0,1.5,2.0,0,1.0,0.0,1,0.0,0
186,39.0,14,115.0,91320,1.0,1.0,3.0,0,0.0,0.0,1,0.0,0
187,48.0,23,45.0,95616,1.0,0.3,1.0,0,0.0,0.0,1,1.0,0
188,46.0,21,159.0,94305,3.0,1.9,3.0,315,0.0,0.0,1,0.0,1
189,64.0,40,169.0,91320,2.0,2.1,1.0,122,0.0,0.0,1,0.0,0
190,55.0,29,112.0,94043,2.0,1.4,1.0,0,0.0,0.0,1,0.0,0
191,60.0,36,93.0,92521,1.0,4.3,1.0,0,0.0,0.0,1,0.0,0
192,51.0,25,29.0,90404,1.0,0.3,3.0,140,0.0,0.0,0,0.0,0
193,50.0,23,85.0,92122,1.0,2.67,2.0,0,0.0,0.0,1,0.0,0
194,48.0,24,21.0,93118,4.0,0.6,1.0,0,0.0,0.0,1,1.0,0
195,53.0,29,144.0,92697,2.0,6.8,1.0,0,0.0,0.0,1,0.0,0
196,34.0,10,13.0,94577,4.0,1.0,1.0,95,1.0,0.0,1,0.0,0
197,48.0,24,165.0,93407,1.0,5.0,1.0,0,0.0,0.0,0,1.0,0
198,55.0,31,9.0,91345,4.0,0.7,1.0,89,0.0,0.0,1,0.0,0
199,27.0,3,59.0,94123,4.0,0.0,1.0,90,1.0,0.0,1,0.0,0
200,36.0,11,158.0,92152,1.0,5.1,3.0,0,0.0,1.0,1,1.0,1
201,32.0,6,29.0,91355,1.0,1.9,3.0,0,0.0,0.0,1,1.0,0
202,35.0,9,20.0,94609,2.0,1.4,3.0,0,0.0,0.0,1,1.0,0
203,30.0,3,68.0,94306,4.0,2.0,2.0,0,0.0,0.0,1,0.0,0
204,58.0,34,65.0,95747,4.0,2.2,1.0,0,0.0,0.0,1,0.0,0
205,56.0,31,61.0,96150,2.0,1.9,2.0,105,0.0,0.0,0,0.0,0
206,38.0,12,91.0,95616,4.0,1.4,2.0,100,0.0,0.0,0,1.0,0
207,49.0,25,31.0,91355,1.0,1.0,1.0,0,1.0,0.0,1,0.0,0
208,34.0,10,71.0,94115,4.0,0.1,2.0,0,0.0,0.0,0,0.0,0
209,40.0,16,73.0,94110,4.0,2.67,1.0,0,0.0,0.0,1,1.0,0
210,64.0,39,172.0,94707,4.0,3.1,1.0,282,0.0,1.0,1,1.0,1
211,51.0,26,20.0,92131,2.0,0.0,1.0,0,0.0,0.0,0,0.0,0
212,44.0,18,55.0,94720,1.0,0.2,1.0,0,0.0,0.0,0,0.0,0
213,46.0,22,69.0,91604,2.0,1.7,1.0,209,0.0,0.0,0,0.0,0
214,57.0,33,155.0,91326,1.0,7.4,1.0,0,0.0,0.0,1,0.0,0
215,54.0,28,94.0,90291,1.0,1.9,2.0,0,0.0,0.0,0,0.0,0
216,38.0,14,92.0,95818,2.0,0.0,1.0,249,0.0,0.0,1,1.0,0
217,27.0,3,125.0,95521,2.0,0.6,1.0,0,0.0,0.0,0,0.0,0
218,39.0,14,74.0,94305,3.0,3.0,1.0,0,0.0,0.0,0,0.0,0
219,44.0,20,72.0,92807,3.0,0.3,3.0,0,0.0,0.0,1,0.0,0
220,56.0,30,61.0,94707,1.0,2.2,3.0,0,0.0,0.0,1,1.0,0
221,32.0,6,25.0,92130,2.0,0.3,1.0,0,0.0,0.0,0,1.0,0
222,45.0,19,83.0,95051,2.0,1.7,2.0,0,0.0,0.0,1,0.0,0
223,26.0,2,104.0,94306,3.0,2.5,1.0,0,0.0,0.0,0,0.0,0
224,55.0,25,41.0,95014,3.0,1.0,3.0,0,0.0,0.0,1,0.0,0
225,52.0,27,58.0,94305,4.0,1.8,3.0,91,0.0,0.0,0,0.0,0
226,39.0,13,93.0,94720,1.0,1.5,3.0,0,0.0,0.0,0,1.0,0
227,24.0,-1,39.0,94085,2.0,1.7,2.0,0,0.0,0.0,0,0.0,0
228,47.0,23,148.0,94551,2.0,7.5,1.0,0,0.0,1.0,1,1.0,0
229,47.0,22,53.0,92677,4.0,1.9,3.0,98,1.0,1.0,0,1.0,0
230,48.0,24,71.0,93117,2.0,1.7,1.0,145,0.0,0.0,0,1.0,0
231,47.0,22,92.0,94720,1.0,2.8,2.0,0,0.0,0.0,1,0.0,0
232,35.0,10,61.0,94304,4.0,2.1,3.0,0,0.0,0.0,1,0.0,0
233,46.0,19,38.0,94122,3.0,2.5,2.0,135,0.0,0.0,0,0.0,0
234,62.0,37,58.0,91320,4.0,1.7,1.0,0,0.0,0.0,1,0.0,0
235,26.0,1,80.0,95616,1.0,0.8,2.0,150,0.0,0.0,0,0.0,0
236,38.0,8,71.0,94720,4.0,1.8,3.0,0,0.0,0.0,1,0.0,0
237,43.0,18,89.0,93407,3.0,0.5,3.0,0,0.0,0.0,1,1.0,0
238,62.0,38,83.0,92521,1.0,1.8,3.0,0,0.0,0.0,1,0.0,0
239,57.0,32,28.0,95831,3.0,0.2,1.0,0,0.0,0.0,1,1.0,0
240,28.0,3,52.0,94112,4.0,1.7,2.0,0,0.0,0.0,0,0.0,0
241,51.0,26,70.0,90089,1.0,1.2,1.0,169,0.0,0.0,0,0.0,0
242,48.0,22,71.0,91711,1.0,1.4,3.0,0,0.0,0.0,0,1.0,0
243,41.0,16,75.0,94005,1.0,3.7,3.0,280,0.0,0.0,0,0.0,0
244,65.0,39,170.0,90095,3.0,7.9,3.0,99,0.0,1.0,1,0.0,1
245,41.0,17,78.0,94025,4.0,0.8,1.0,78,0.0,0.0,1,0.0,0
246,35.0,11,25.0,92614,2.0,1.0,2.0,0,0.0,0.0,0,0.0,0
247,38.0,14,60.0,94025,2.0,0.6,3.0,0,0.0,0.0,1,1.0,0
248,53.0,29,120.0,92626,4.0,2.7,2.0,111,1.0,1.0,1,0.0,1
249,55.0,29,99.0,92121,2.0,1.4,1.0,264,0.0,0.0,1,1.0,0
250,26.0,1,55.0,90089,3.0,2.6,3.0,113,0.0,0.0,0,1.0,0
251,30.0,6,29.0,94305,3.0,1.0,2.0,117,0.0,0.0,0,0.0,0
252,54.0,28,170.0,92182,2.0,6.2,2.0,325,0.0,0.0,1,0.0,1
253,65.0,40,53.0,91711,3.0,2.2,1.0,0,0.0,0.0,0,1.0,0
254,47.0,21,138.0,94583,1.0,0.0,1.0,0,0.0,0.0,0,0.0,0
255,65.0,41,134.0,91942,3.0,3.9,3.0,121,0.0,0.0,1,0.0,1
256,66.0,40,42.0,92103,2.0,0.7,3.0,138,0.0,0.0,0,1.0,0
257,26.0,0,99.0,92697,4.0,2.3,3.0,0,0.0,0.0,0,1.0,0
258,66.0,41,18.0,92691,3.0,0.5,1.0,0,0.0,0.0,0,1.0,0
259,35.0,9,24.0,95747,4.0,0.3,1.0,0,0.0,0.0,1,0.0,0
260,56.0,30,55.0,94107,1.0,1.4,1.0,77,0.0,0.0,1,0.0,0
261,51.0,27,58.0,92407,1.0,0.0,1.0,0,0.0,0.0,0,1.0,0
262,42.0,16,111.0,93106,2.0,1.2,3.0,251,0.0,0.0,1,0.0,1
263,49.0,23,33.0,90245,1.0,0.3,3.0,0,0.0,1.0,1,1.0,0
264,27.0,1,74.0,92121,4.0,1.8,2.0,112,0.0,0.0,1,1.0,0
265,45.0,19,38.0,90840,2.0,0.7,1.0,0,0.0,0.0,0,0.0,0
266,49.0,23,23.0,94305,4.0,0.6,3.0,98,1.0,0.0,0,0.0,0
267,63.0,38,61.0,94720,2.0,1.5,1.0,0,0.0,0.0,1,0.0,0
268,47.0,22,81.0,90504,1.0,2.9,1.0,138,0.0,0.0,0,0.0,0
269,64.0,39,129.0,94002,1.0,2.5,1.0,0,0.0,0.0,1,0.0,0
270,43.0,13,33.0,95039,1.0,0.75,3.0,0,0.0,0.0,0,0.0,0
271,60.0,36,63.0,94063,4.0,2.2,1.0,0,0.0,0.0,1,0.0,0
272,40.0,14,70.0,94923,4.0,1.4,2.0,0,0.0,0.0,1,0.0,0
273,29.0,3,45.0,95023,4.0,0.2,1.0,158,0.0,0.0,1,1.0,0
274,41.0,16,65.0,90095,3.0,0.5,3.0,0,0.0,0.0,1,0.0,0
275,30.0,5,74.0,95616,4.0,2.2,1.0,0,1.0,0.0,0,1.0,0
276,49.0,24,50.0,94706,4.0,1.8,3.0,0,1.0,0.0,0,0.0,0
277,30.0,5,22.0,90058,4.0,0.5,3.0,109,0.0,0.0,1,0.0,0
278,29.0,2,30.0,92126,4.0,1.0,3.0,0,0.0,0.0,0,0.0,0
279,50.0,26,21.0,91125,4.0,1.0,1.0,0,0.0,0.0,1,0.0,0
280,39.0,14,155.0,94577,2.0,3.9,1.0,0,0.0,0.0,1,0.0,0
281,33.0,8,64.0,92121,4.0,2.1,3.0,164,0.0,0.0,1,0.0,0
282,57.0,31,65.0,94118,4.0,2.6,3.0,0,0.0,0.0,0,1.0,0
283,34.0,9,71.0,91711,4.0,0.7,3.0,0,0.0,0.0,1,0.0,0
284,61.0,36,40.0,90029,3.0,0.5,2.0,0,1.0,0.0,1,0.0,0
285,44.0,19,69.0,92806,3.0,0.5,3.0,0,0.0,0.0,1,0.0,0
286,40.0,13,69.0,94305,3.0,2.33,2.0,0,0.0,0.0,0,0.0,0
287,51.0,25,45.0,94806,3.0,0.6,2.0,131,0.0,0.0,1,0.0,0
288,37.0,12,62.0,92110,3.0,0.7,2.0,0,0.0,0.0,0,1.0,0
289,44.0,19,172.0,94306,2.0,4.3,3.0,391,1.0,1.0,1,0.0,1
290,42.0,15,24.0,92121,3.0,1.0,2.0,0,0.0,0.0,1,1.0,0
291,51.0,25,80.0,92373,1.0,4.9,1.0,0,0.0,0.0,0,0.0,0
292,43.0,16,8.0,90089,3.0,0.67,2.0,88,0.0,0.0,1,0.0,0
293,30.0,5,38.0,94542,4.0,0.8,1.0,129,0.0,0.0,1,1.0,0
294,45.0,19,93.0,90095,4.0,2.6,3.0,0,0.0,0.0,0,0.0,0
295,35.0,9,55.0,94536,1.0,2.0,1.0,0,0.0,0.0,1,0.0,0
296,60.0,34,64.0,94304,2.0,1.7,3.0,0,0.0,0.0,0,1.0,0
297,34.0,9,122.0,90623,1.0,0.0,1.0,0,0.0,0.0,1,0.0,0
298,55.0,25,70.0,93720,3.0,1.4,3.0,0,0.0,0.0,1,0.0,0
299,43.0,19,81.0,92069,2.0,3.2,1.0,0,0.0,0.0,0,0.0,0
300,41.0,15,159.0,90057,1.0,5.5,3.0,0,0.0,1.0,1,0.0,1
301,34.0,9,70.0,92843,4.0,1.3,1.0,0,1.0,0.0,0,0.0,0
302,65.0,39,150.0,92120,2.0,6.9,1.0,196,0.0,0.0,0,0.0,0
303,45.0,21,152.0,94550,2.0,7.5,1.0,0,0.0,0.0,1,0.0,0
304,49.0,25,195.0,95605,4.0,3.0,1.0,617,0.0,0.0,0,0.0,1
305,48.0,23,22.0,90740,1.0,0.1,1.0,0,0.0,0.0,0,0.0,0
306,60.0,35,22.0,91207,1.0,1.3,1.0,123,0.0,0.0,1,0.0,0
307,55.0,29,79.0,92373,3.0,0.8,1.0,0,0.0,0.0,1,1.0,0
308,42.0,18,33.0,90401,1.0,1.4,3.0,0,0.0,0.0,1,0.0,0
